ngiemboon,en
"Mbòŋo aa lelɔ̌ɔn nzab mentí mentí, ḿpfɛ́ɛ tsɛ̀ɛ nkwòŋe, ńcʉa lépfɛ́ mbab fòŋ gie éfáŋ lyɛ̌ʼ ntsèm, kapʉ̀a piŋ ńgwɔ́ tsetsɛ̀ɛ pi.",Better a meal of vegetables where there is love
"Nyìŋ gẅie à lwo ńgyáŋa lóŋ à pʉ́ʼte melàʼ, táʼ, nyìŋ gẅie á zsé lékúʼte mbùm ye, á gÿo cÿɔ́g mag.","A hot-tempered person stirs up conflict,  "
"Mánzsè nyìŋ gẅie aa ndǒŋ, à gwɔ́ pɔ́ páʼ tʉ̂ankáʼ menzóŋ menzóŋ la, epʉ̀a pie é gẅiin mà wembòŋo, mánzsè wɔb ké ńtyé tyé.","A slacker’s way is like a thorny hedge,"
"Múɔ mbàŋa gẅie aa nzsènò, à gÿo tá we kág, mámbàŋa gẅie aa gʉ̀gʉ̀, à gwága nò má we.","A wise son brings joy to his father,"
"Menò gʉ̀gʉ̀ ná pɔ́ lekág mbwó nyìŋ gẅie à te sáŋa nò mboŋó wɔ́. Táʼ, nyìŋ gẅie á gẅiin legye, á giŋ yé pɔ́ na mánzsè gẅie aa ndʉŋndʉŋ.","Foolishness brings joy to one without sense,"
"Ammó gie mé zába légÿo, á té giŋ, mélàʼmie panántÿɔgɔ́ pe membòŋo té ssé wɔ́, táʼ, á giŋ mboŋó páʼ mentÿɔgɔ́ lɔɔn fó mbwó pʉ̀a tà ńgyɔ́ɔn.","Plans fail when there is no counsel,"
"Nyìŋ pÿɛɛ nò páʼ á ne ńzɛ́te, ńgẅiin lekág. Á gíŋe ńgwɔ́ máa nò mbòŋo légɔɔn nò gie á ne ńzɛ́te na fʉ̀ʼ yembòŋo.",A person takes joy in giving an answer;  
"Anzsènò giŋe na mánzsè gẅie mé pfó mǒ, ńgẅiin legwɔ́ wó, à lɔg ńdÿɔ́ʼɔ mánzsè gẅie à sẅɛ́ʼɛ né láʼ mepfó.","For the prudent the path of life leads upward,"
"Cʉ̀apʉ̀a gÿo mé tág ndá ngàŋa ŋáʼtè, táʼ, ńké ńtÿɔ́ʼte mmó gie áa ye mpfɔ̌g manzwě.","The Lord tears apart the house of the proud,"
"Menkwaŋá tepòŋ ee ntʉ̀ nò tepòŋ mbwó Cʉ̀apʉ̀a, tá à ké ńgɔʼte meshwóŋè mbʉ́lè pʉlé.","The Lord detests the plans of the one who is evil,"
"Nyìŋ gẅie à tÿɔ́g ntʉ́m wé, ńdɔgɔ gáte éfaʼ nkáb, à lɔgɔ ńtóŋo ngɔ́ʼ ńnéŋe ndá yé, tá nyìŋ gẅie à lʉʼʉ nò lékwɛɛ pwó, á ge láʼ zyé néŋe tsɛ̀ɛ njÿó.","The one who profits dishonestly   troubles his household,"
"Nyìŋ gẅie aa ngàŋa nò nénʉ́ sáŋa nò tá ḿbÿɛ, táʼ, nyìŋ tepòŋ lɔg ncwò wé fwɔʼte meshwóŋè tepòŋ.","The mind of the righteous person thinks before answering,  "
"Cʉ̀apʉ̀a te páa nò pʉ̀a tepòŋ wɔ́, táʼ, ńké ńzẅíʼte sẅíŋtè pʉ̀a pie ée ngàŋa nò nénʉ́.","The Lord is far from the wicked,  "
"Nyìŋ líe gú né legẅete, ntʉ́m gú kág, nyìŋ júʼ nkʉ̀ mbòŋo, mbùm ye zeŋe,",Bright eyes cheer the heart;
"Nyìŋ lɔɔn ńtʉ́ŋe tuŋó ńzẅíʼte mmó gie mé lɔgɔ ńkaga yé, á gie á náa legwɔ́ wó, mbà à ge gẅiin yé jʉʼ á nùɔ pazsénò.",One who   listens to life-giving rebukes  # 15:31 Pr 3:11
"Nyìŋ gwáʼa mmó gie mé zíʼi yé, mbà à sele ńgwága pɔ́ twó mbùm yé, tá nyìŋ gẅie à zẅíʼte mmó gie mé lɔg ńtÿɔ́gte yé á lɔg ńkẅiʼi pɔ́ legye sé.","Anyone who ignores discipline despises himself,  "
"Nyìŋ pɔ́gɔ Cʉ̀apʉ̀a, ńdɔg ńzíʼi légẅiin zsénò. Nyìŋ ná nnɛ́ ssé ńgẅiin mekùʼ.","The fear of the Lord is what wisdom teaches,"
