ngiemboon,en
à zsě mmó gie à gÿo,because he knows what he did
à cǔa múɔ,he beat the child
A gɔɔ̌n ngie: «N gÿo lêkɛ?̂»,he said: “What shall I do?”
à gɔɔ̌n né mèŋ ngie: «Tóo ḿpfɛɛ́ péli.»,he said to me: “Come eat peanuts.”
bʉ́ʉ,shining
bʉ́ʉ,glowing
bá,mother
bíìb,tree falling
bwà,goat
bwà,he-goat
cʉ́ʼʉ,wait!
cʉ́ʼʉ,stop!
cʉ̀a,necklace
cʉ̀a,to string
cùb,component
cùbte,composed
cùbte,assembled
cÿɔ́̓,table
cÿɔb̀,fetish
dzúŋ,"swelling, bulging"
éfaʼ,to search
éfáŋ,to be big
éfáŋte,to become big
éfúɔte,to brush
éfúɔte,graze
éfu,to borrow
éshú,to hide
éshú,mask
éshʉge,to inflate
éshʉge,swell
éshúm,things
éshumo,to renew
éssó,to undergo
éssó,suffer
éio,to fill
éio,cover
ésyɛb,to comb
ésyɛb,to arrange hair
fàʼ,work
fàʼ,job
fáʼte,cold
fáʼte,flu
fʉ́ʉ,handle
fʉ̀,blind
fʉ̌ŋ,wound
fʉ̌ŋ,sore
fù,lender
fùɔ,chief
fwɔ̀ʼ fwɔ̀ʼ fwɔ̀ʼ,things falling out in large quantity
fwɔ̀̓ ɔ,to dig up
fwɔ̀̓ ɔ,unearth
gwâ,cloth tearing
gwà,blade
gwɔ́,life
gwóŋ,very black
gwóŋo,speech
gwóŋo,language
gubé,children
gùbe,umbrella
gyɛ,taste
gyɔɔ̂n,abundance
hége,illness
hége,disease
hʉ́ʉ,voice
hʉ́ʉ,sound
ió,pus
íe,to look
iɛ,to take out
iɛ,withdraw
iɛb́,to boil
iɛb́,bubble
iŋ,person
iŋ,individual
íŋe,when
íŋe,at that time
kaa,negation
kaa,not
ka,past tense marker
káb,pipe
kabí,goodbye
kabí,farewell
kanúʼ,canoe
kanúʼ,pirogue
ka’a,on the contrary
káʼa,calabash
káŋ,dish
káŋ,plate
kàŋ,squirrel
kǎŋ,lazy
kǎŋ,slothful
kɛɛ,what?
kee,which
kee,what
kǔ,bed
kǔa,cholera
kǔa,disease
kùa,nest
kʉ̀ŋe,manure
kʉ̀ŋe,compost
kʉ̀ŋ,dung
kʉ̀ŋ,fertilizer
kʉ̀a,nest
kʉ̀a,lair
kʉ́m,beans
kʉ́ʼ,heart
kùbu,blunt
kùbu,dull
kwɛɛ̀,to tie
kwɛɛ̀,attach
kwɛ,fight
kwɛ,struggle
kwɔʼ̀,cob
kwɔʼ̀,peel
kwɔʼ̀,husk
kwɔʼ̀ɔ,stool
kwɔɔ̌n,joug
kwɔɔ̌n,yoke
kwɔɔ̌ɔ,stool
kú,to enter
kúnɔɔ̀n,pig
kúu nɔɔ̀n,go into the field
kwoe,to tear off
kẅíʼ,homonym
kẅàga,cough
kẅíŋ,wood
kyɛ,light
kyɛ,brightness
kyɛ̀,curtain
lêcʉ́ʼ,very bitter
legù,chest
legù,breast
leŋ,stool
leŋ,tabouret
lèŋe,placenta
lɔgɔ́,with
lɔgɔ́,together
lóŋ,neck
lǒŋ,laziness
lɔɔ̌n,cook
lɔɔ̌n mesaŋá,make couscous sauce
lʉ́m,tongue
melùʼ,wine
lemí,whistling
lepfòm,belly
lepfòm,stomach
lepÿɛ́,weakness
lepwɔʼ,melon
letʉ́m,heart
letuŋó,ear
letoŋó,feather
legẅi,hail
legyɔɔ̂n,abundance
lekwɛ̀,wrestling
lekwɛ̀,struggle
lesyɛʼɛ́,needle
leshùm,youth
leŋo,hair
levfò,art
levfò,craft
levwɔʼté,shelf
lezíŋ,name
lezyɛ̌,knot
lèŋ,stool
lèŋ,tabouret
lâm,lamp
li,there
lìi,propolis
lìi,wax
líʼ,to see
líe,to look at
lʉa,to cry
lwò,juice
má,mother
mbá,spleen
ḿbá,to treat
ḿbá,heal
mboo,goodbye
mbab,meat
ḿbáb,to heat
ḿbáb,warm
ḿbab,to deceive
ḿbab,trick
mbìd,pus
mbʉ̀le,grasshopper
mbʉete,to turn over
mbʉete,return
mêmvfó,goat
memvòm,seeds
menzǎŋ,balafons
menŋwáʼ,bees
menÿɔǵ,eyes
megùm,hawks
megùm,birds of prey
megÿaʼá,little
mepfò,episodes
mênkʉ́,child
mênkʉ́,small child
mênkɔʼ̀,rooster
meshʉŋ,bird
meshʉ̌ŋ,birds
mepfò,episodes
mepfò,occurrences
messó,fish
metse,blood
metʉ̌a,market
mevɛ́,oil
méŋ,I
méŋ,me
mí,river
míe,which ones
míí,to swallow
míi,one who swallows
mím,whistle
moŋo,honey
múɔ,child
múɔ kaa túʼ ntse wɔ́,the child didn’t fetch water
múɔ pfɛɛ́ shúm,the child eats food
múɔ te lʉa,the child didn’t cry
mwa,hole
mwòon,abscess
mʉ́ʉ,sleeve
mʉ́ʉ,handle
mʉ̀,blind
nɔʼ,chiefdom
nɔɔ̀n,field
nɔɔ̀n,parcel
nnáʼ,sauce
nnùu,drinker
ńnú,to drink
ńŋele,to move
ńŋele,shake
ńŋwáʼ,moon
ńniɛb,to bubble
ńniɛb,boil
ńniag,to insult
ńkyɛ́,to jump
ńkyɛ,to hang
ńkáte,to roll
ńkáte,twist
ńkaŋ,to choose
ńkʉe,to scold
ńkʉe,grumble
ńkʉate,to draw
ńkʉate,trace
ńkuate,to scratch
ńkwɛ̀,to pick
ńkwɛ̀e,to plant
ńkwoe,to pluck
ńkwoe,tear out
ńkʉŋ,shore
ńkʉŋ,riverbank
ńkÿéen,to appear
ńkÿéen,to draw
ńdíʼ,to speak
ńdíʼ,to talk loudly
ńdiʼ,to shout
ńdiʼ,cry
ńdém,to steal
ńná,to give
ńŋá,to divert
ńŋá,turn aside
ńŋwá,to move
ńŋwá,shift
ńgẅiin,to have
ńgẅíŋ,to harden
óo,yes
oʼ,inside
oʼe,excrement
oŋ,ox
oŋ,cow
òŋ,bull
òŋ,cow
oon,yes
oon,agreement
òon,yes
ɔ,you
ɔʼ,your
ɔɔ̌n,market
ɔɔ̌ɔ,market
ɔɔn,yes
ɔɔnʼ,guess
ɔɔnʼ,divine
ɔɔ̌n,market
ɔɔ̌n,fair
ɔɔnʼte,to drag
ɔɔnʼte,pull
ɔʼ,you
ɔb,son
ɔg̀,smoke exit
ɔĝ,dance
ɔĝ,ball
ɔgɔ́,with
ɔŋ,bull
ɔŋ,cow
ɔsɔ,near
ɔsɔ,close
pɛɛ,already
péli,peanut
pìŋ,straw
piŋé,answer
pîa,lawyer
pîa,avocado
pɔ́,they
pɔĝ,ball
pɔĝ,dance
pɔg̀,smoke outlet
pɔɔ,all
pɔɔ,every
pwó,arm
pwɔʼ,melon
pwàpte᷆,flat nose
páʼ,like
páʼ,as
pɛ,already
pfó,ashes
pfɛ́,to eat
pfɛɛ́,eat
pfɛʼ,food
pfwɔ̀̓,remains
pfwɔ̀̓,leftover
pfwɔʼɔ́,new
pfwɔʼɔ́,nine
pwàg,bomb
pyàg,bomb
pyàg,explosion
pége,we
péli,peanut
pfɛɛ́ péli,eat peanut
pǐŋ,straw
pǐŋ,thatch
rɛŋ,laugh
sà,catapult
sàʼ,slingshot
sásá,to crackle
sésɔg,pepper
shú,hoe
shúm,youth
shúm,things
shùm,youth
shʉ́shÿó,eggplant
shʉŋ,bird
shʉ̌ŋ,birds
shwôŋo,language
shwoŋ,to pull
shÿó,face
shÿó,visage
shÿóo,elephant
shÿɔg,to bear
shÿɔg,support
shÿó,face
shÿóo,elephant
ssó,fish
sǒ,friend
sò,yes
sò,affirmation
sɔ,you
sɔ́,they
sɔ́,them
sɔɔ̌n,market
sɔɔ̌,very
sɔɔ̌nʼ,first
sɔɔ̌nʼ,before
sɔg̀,soap
sẅiŋe,sell
sẅɛɛ́,feast
sẅɛɛ́,celebration
sẅɛɛ́ gẅie mekelétè tóŋ ngie «Páskà»,feast that Christians call “Easter”
sẅɛɛ́ gẅi,festival
sẅɛɛ́ gẅi,party
sẅiŋe kúnɔɔ̀n,sell the pig
sẅiŋe kúnɔɔ̀n gẅi,sell your pig
sẅíŋtè,prayer
sẅíbè,bedbug
sɔb̀,chant
sɔb̀,song
tá,father
tá gẅi,your father
tóo,come
tsǎʼ,brick
tsaʼá,clay
tsǎŋ,balafon
tsǎ’,brick
tsà,to salute
tsà,greet
tsɛ,water
tsyɛ,branch
tsyɛ,twig
tsyɛʼɛ́,branch
tsjágà,very soft
tswàŋ,cloth
tswàŋ,fabric
tsá,stone
tsɛ,peigne
tsɔb̀,song
tsâb,very clean
tsâb,bright
tʉ́m,heart
tùbo,curved
tùbo,bent
tʉ̌ŋ,wound
tẅɛ̀,cleanliness
tẅite,to roast
twó,head
twóŋ,pile
twóŋ,heap
tÿǒ,tree
tÿéen,to appear
tÿéen,draw
tÿɛʼ,horse
tÿóon,horse
tÿóon,stallion
vɛ̀,wild cat
mevɛ́,oil
mvɛ̀,rope
mvwɔʼ,to close
mvwɔʼ,shut
vȕm,fast
vȕm,quick
vfó,cook!
vfò,art
vfò,craft
vfwɔ,dig
vfwɔ,unearth
vwɔ̀̓ ɔ,door leaf
vwɔ̀̓ ɔ,shutter
vɔʼté,shelf
vɛ,oil
vʉm,vehicle moving fast
wɛ,yes
wɔ́,not
wɔ́ʼ,ours
wɔ́ʼ,our
wɔ́ʼé,our
wò,there
wɔɔ̀n,my wife
wɔɔ̀n gɔɔ̌n,my wife said
wɔ́ʼ gẅi,your
woʼ,your
wɔ́ʼ té,in your place
wòon,try
wòon,attempt
wòon tè,try to
wó,there
wó,that
wóʼ,yes
woo,yes!
woŋ,together
wòon,abscess
wɔ,we
wɛ́,yes
wɛ́e,yes indeed
wɛ́,affirmative particle
wɛ́ʼe,with me
yaŋ,mat
yáʼ,song
yìŋ,person
yé,his
yé,her
yéʼ,your
yéʼe,yours
yí,here
yɔʼ,chant
yɔɔ̌n,red
yɔʼɔn,reddish
yɔʼɔn,red-colored
zɔb̀,chant
zɔb̀,hymn
zɔɔ,who
zɔɔ̌n,before
zɔɔ̌n,first
zsě,know
zsě ngie mèŋ n ge tá gẅi,you know that I am your father
zsé ngie mèŋ n ge tá gẅi,know that I am your father
zse,verruca
zse,wart
zseʼ,wart
zseʼ,bump
zseʼe,wart
zɛt́e,to ask
zẅìŋ,old
zẅìŋ,aged
zẅìge,breath
zẅìge,respiration
zẅíŋ,herb
zẅíŋ,grass
zẅɛʼɛ́,to collapse
zẅɛʼɛ́,fall
zẅɛt̀é,holiday
zẅɛt̀é,vacation
zɛʼ,to say
zɛʼ,speak
zó,light
zɔ,song
